WL[nm]; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL[dB]
1515.220;-4.76;-67.22;-67.02;-66.60;-52.96
1515.230;-4.76;-67.22;-67.02;-66.61;-52.93
1515.240;-4.75;-67.24;-67.03;-66.62;-52.85
1515.250;-4.76;-67.23;-67.02;-66.61;-52.84
1515.260;-4.76;-67.23;-67.02;-66.61;-52.80
1515.270;-4.76;-67.22;-67.02;-66.61;-52.81
1515.280;-4.76;-67.22;-67.02;-66.61;-52.79
1515.290;-4.74;-67.24;-67.04;-66.63;-52.83
1515.300;-4.74;-67.25;-67.04;-66.63;-52.76
1515.310;-4.75;-67.24;-67.04;-66.63;-52.73
1515.320;-4.73;-67.26;-67.05;-66.64;-52.60
1515.330;-4.73;-67.26;-67.05;-66.64;-52.69
1515.340;-4.74;-67.25;-67.04;-66.63;-52.70
1515.350;-4.74;-67.25;-67.04;-66.63;-52.62
1515.360;-4.76;-67.23;-67.02;-66.61;-52.50
1515.370;-4.73;-67.26;-67.05;-66.65;-52.51
1515.380;-4.73;-67.25;-67.05;-66.64;-52.45
1515.390;-4.75;-67.24;-67.04;-66.63;-52.43
1515.400;-4.75;-67.24;-67.04;-66.63;-52.36
1515.410;-4.75;-67.24;-67.04;-66.63;-52.22
1515.420;-4.75;-67.24;-67.04;-66.63;-52.27
1515.430;-4.74;-67.25;-67.04;-66.64;-52.18
1515.440;-4.75;-67.24;-67.03;-66.63;-52.16
1515.450;-4.73;-67.25;-67.05;-66.64;-52.09
1515.460;-4.73;-67.26;-67.05;-66.65;-51.94
1515.470;-4.76;-67.23;-67.02;-66.62;-51.87
1515.480;-4.75;-67.24;-67.04;-66.63;-51.90
1515.490;-4.73;-67.25;-67.05;-66.64;-51.88
1515.500;-4.74;-67.24;-67.04;-66.63;-51.82
1515.510;-4.73;-67.26;-67.06;-66.65;-51.85
1515.520;-4.73;-67.25;-67.05;-66.64;-51.79
1515.530;-4.75;-67.24;-67.04;-66.63;-51.75
1515.540;-4.73;-67.26;-67.05;-66.65;-51.77
1515.550;-4.73;-67.26;-67.06;-66.65;-51.70
1515.560;-4.75;-67.24;-67.03;-66.63;-51.68
1515.570;-4.74;-67.24;-67.04;-66.63;-51.61
1515.580;-4.75;-67.23;-67.03;-66.62;-51.64
1515.590;-4.75;-67.24;-67.04;-66.63;-51.61
1515.600;-4.73;-67.26;-67.05;-66.65;-51.62
1515.610;-4.75;-67.24;-67.04;-66.63;-51.61
1515.620;-4.75;-67.24;-67.04;-66.63;-51.62
1515.630;-4.73;-67.26;-67.05;-66.65;-51.42
1515.640;-4.76;-67.23;-67.02;-66.62;-51.47
1515.650;-4.73;-67.26;-67.06;-66.65;-51.55
1515.660;-4.74;-67.25;-67.05;-66.64;-51.50
1515.670;-4.75;-67.24;-67.04;-66.63;-51.41
1515.680;-4.73;-67.26;-67.06;-66.65;-51.49
1515.690;-4.75;-67.24;-67.04;-66.63;-51.57
1515.700;-4.76;-67.23;-67.03;-66.62;-51.42
1515.710;-4.75;-67.24;-67.04;-66.63;-51.36
1515.720;-4.76;-67.23;-67.02;-66.62;-51.50
1515.730;-4.78;-67.21;-67.01;-66.60;-51.39
1515.740;-4.74;-67.25;-67.05;-66.64;-51.30
1515.750;-4.76;-67.23;-67.03;-66.62;-51.36
1515.760;-4.74;-67.25;-67.05;-66.64;-51.52
1515.770;-4.73;-67.26;-67.06;-66.65;-51.48
1515.780;-4.76;-67.23;-67.02;-66.61;-51.51
1515.790;-4.76;-67.24;-67.03;-66.62;-51.56
1515.800;-4.76;-67.24;-67.03;-66.62;-51.47
1515.810;-4.78;-67.21;-67.01;-66.60;-51.55
1515.820;-4.73;-67.26;-67.06;-66.65;-51.53
1515.830;-4.75;-67.24;-67.04;-66.62;-51.52
1515.840;-4.75;-67.24;-67.03;-66.62;-51.52
1515.850;-4.73;-67.26;-67.05;-66.64;-51.64
1515.860;-4.74;-67.25;-67.04;-66.63;-51.67
1515.870;-4.76;-67.23;-67.03;-66.62;-51.53
1515.880;-4.74;-67.26;-67.05;-66.64;-51.73
1515.890;-4.74;-67.25;-67.05;-66.64;-51.75
1515.900;-4.75;-67.25;-67.04;-66.63;-51.85
1515.910;-4.73;-67.27;-67.06;-66.65;-51.83
1515.920;-4.75;-67.25;-67.04;-66.63;-51.85
1515.930;-4.75;-67.25;-67.04;-66.63;-51.90
1515.940;-4.73;-67.26;-67.06;-66.64;-51.94
1515.950;-4.76;-67.23;-67.02;-66.61;-51.86
1515.960;-4.76;-67.24;-67.03;-66.62;-51.95
1515.970;-4.74;-67.26;-67.05;-66.64;-52.00
1515.980;-4.75;-67.25;-67.04;-66.63;-52.00
1515.990;-4.73;-67.27;-67.06;-66.64;-51.98
1516.000;-4.76;-67.23;-67.02;-66.61;-52.03
1516.010;-4.76;-67.24;-67.03;-66.62;-52.03
1516.020;-4.74;-67.26;-67.05;-66.64;-52.04
1516.030;-4.74;-67.26;-67.05;-66.63;-52.02
1516.040;-4.75;-67.25;-67.04;-66.63;-52.07
1516.050;-4.73;-67.27;-67.06;-66.64;-52.10
1516.060;-4.75;-67.25;-67.04;-66.63;-52.11
1516.070;-4.73;-67.27;-67.05;-66.64;-52.08
1516.080;-4.73;-67.27;-67.06;-66.65;-52.05
1516.090;-4.76;-67.24;-67.03;-66.61;-52.12
1516.100;-4.75;-67.25;-67.04;-66.63;-52.20
1516.110;-4.76;-67.24;-67.03;-66.62;-52.28
1516.120;-4.75;-67.25;-67.04;-66.62;-52.27
1516.130;-4.75;-67.25;-67.04;-66.63;-52.22
1516.140;-4.73;-67.27;-67.06;-66.64;-52.35
1516.150;-4.74;-67.26;-67.05;-66.64;-52.34
1516.160;-4.73;-67.27;-67.06;-66.65;-52.30
1516.170;-4.76;-67.24;-67.03;-66.61;-52.19
1516.180;-4.74;-67.26;-67.05;-66.63;-52.27
1516.190;-4.73;-67.27;-67.06;-66.65;-52.35
1516.200;-4.74;-67.26;-67.05;-66.64;-52.24
1516.210;-4.73;-67.27;-67.06;-66.64;-52.25
1516.220;-4.73;-67.27;-67.06;-66.64;-52.37
1516.230;-4.74;-67.26;-67.05;-66.63;-52.32
1516.240;-4.73;-67.27;-67.06;-66.64;-52.28
1516.250;-4.73;-67.28;-67.06;-66.64;-52.32
1516.260;-4.74;-67.26;-67.05;-66.63;-52.26
1516.270;-4.73;-67.28;-67.06;-66.64;-52.35
1516.280;-4.73;-67.27;-67.06;-66.64;-52.30
1516.290;-4.75;-67.26;-67.04;-66.63;-52.22
1516.300;-4.73;-67.27;-67.06;-66.64;-52.22
1516.310;-4.75;-67.26;-67.04;-66.63;-52.25
1516.320;-4.76;-67.24;-67.03;-66.61;-52.13
1516.330;-4.75;-67.25;-67.04;-66.62;-52.10
1516.340;-4.75;-67.25;-67.04;-66.62;-52.17
1516.350;-4.73;-67.27;-67.06;-66.64;-52.12
1516.360;-4.71;-67.29;-67.08;-66.66;-52.18
1516.370;-4.74;-67.26;-67.05;-66.64;-52.16
1516.380;-4.73;-67.28;-67.06;-66.65;-52.20
1516.390;-4.73;-67.28;-67.06;-66.65;-52.18
1516.400;-4.73;-67.28;-67.07;-66.65;-52.25
1516.410;-4.73;-67.28;-67.07;-66.65;-52.22
1516.420;-4.74;-67.27;-67.06;-66.64;-52.17
1516.430;-4.73;-67.27;-67.06;-66.64;-52.13
1516.440;-4.73;-67.28;-67.07;-66.65;-52.16
1516.450;-4.73;-67.28;-67.07;-66.65;-52.17
1516.460;-4.73;-67.28;-67.07;-66.65;-52.17
1516.470;-4.73;-67.28;-67.07;-66.65;-52.13
1516.480;-4.74;-67.26;-67.05;-66.64;-52.12
1516.490;-4.73;-67.28;-67.07;-66.65;-52.20
1516.500;-4.73;-67.27;-67.06;-66.65;-52.05
1516.510;-4.75;-67.25;-67.04;-66.62;-52.08
1516.520;-4.75;-67.25;-67.04;-66.63;-51.98
1516.530;-4.76;-67.24;-67.03;-66.62;-52.00
1516.540;-4.76;-67.24;-67.03;-66.62;-52.12
1516.550;-4.75;-67.26;-67.05;-66.63;-52.13
1516.560;-4.77;-67.24;-67.03;-66.61;-52.05
1516.570;-4.77;-67.24;-67.03;-66.61;-52.08
1516.580;-4.75;-67.26;-67.05;-66.63;-52.14
1516.590;-4.75;-67.25;-67.04;-66.63;-52.07
1516.600;-4.76;-67.24;-67.03;-66.61;-52.11
1516.610;-4.75;-67.26;-67.05;-66.63;-52.12
1516.620;-4.76;-67.24;-67.04;-66.62;-52.13
1516.630;-4.78;-67.22;-67.02;-66.60;-52.08
1516.640;-4.76;-67.24;-67.04;-66.62;-52.11
1516.650;-4.76;-67.24;-67.04;-66.62;-52.13
1516.660;-4.74;-67.27;-67.06;-66.65;-52.03
1516.670;-4.75;-67.26;-67.05;-66.64;-51.95
1516.680;-4.77;-67.24;-67.03;-66.61;-52.02
1516.690;-4.76;-67.25;-67.04;-66.62;-51.96
1516.700;-4.75;-67.25;-67.05;-66.63;-51.96
1516.710;-4.76;-67.24;-67.04;-66.62;-52.01
1516.720;-4.73;-67.27;-67.07;-66.65;-51.86
1516.730;-4.76;-67.24;-67.04;-66.62;-51.91
1516.740;-4.77;-67.23;-67.03;-66.61;-51.88
1516.750;-4.76;-67.24;-67.04;-66.62;-51.92
1516.760;-4.73;-67.28;-67.07;-66.66;-51.85
1516.770;-4.78;-67.22;-67.02;-66.60;-51.93
1516.780;-4.75;-67.25;-67.05;-66.63;-51.92
1516.790;-4.76;-67.24;-67.04;-66.62;-51.93
1516.800;-4.79;-67.21;-67.01;-66.59;-51.80
1516.810;-4.75;-67.26;-67.05;-66.64;-51.90
1516.820;-4.77;-67.23;-67.03;-66.62;-51.91
1516.830;-4.75;-67.25;-67.05;-66.63;-51.98
1516.840;-4.77;-67.23;-67.03;-66.62;-51.89
1516.850;-4.76;-67.24;-67.04;-66.62;-52.04
1516.860;-4.76;-67.25;-67.05;-66.63;-52.01
1516.870;-4.74;-67.27;-67.07;-66.65;-52.12
1516.880;-4.76;-67.25;-67.05;-66.63;-52.11
1516.890;-4.73;-67.27;-67.07;-66.65;-52.19
1516.900;-4.75;-67.26;-67.06;-66.64;-52.20
1516.910;-4.75;-67.26;-67.06;-66.64;-52.17
1516.920;-4.75;-67.26;-67.06;-66.64;-52.22
1516.930;-4.73;-67.27;-67.07;-66.66;-52.23
1516.940;-4.73;-67.28;-67.08;-66.66;-52.26
1516.950;-4.73;-67.28;-67.08;-66.66;-52.24
1516.960;-4.74;-67.26;-67.06;-66.64;-52.22
1516.970;-4.74;-67.26;-67.07;-66.65;-52.18
1516.980;-4.73;-67.28;-67.08;-66.66;-52.17
1516.990;-4.73;-67.28;-67.08;-66.66;-52.19
1517.000;-4.72;-67.28;-67.08;-66.67;-52.13
1517.010;-4.72;-67.28;-67.09;-66.67;-52.13
1517.020;-4.73;-67.28;-67.08;-66.66;-52.18
1517.030;-4.73;-67.28;-67.08;-66.66;-51.99
1517.040;-4.73;-67.27;-67.08;-66.66;-51.96
1517.050;-4.74;-67.27;-67.07;-66.65;-51.99
1517.060;-4.72;-67.29;-67.09;-66.67;-52.01
1517.070;-4.72;-67.28;-67.08;-66.66;-51.87
1517.080;-4.73;-67.28;-67.08;-66.66;-51.92
1517.090;-4.71;-67.29;-67.09;-66.67;-51.83
1517.100;-4.74;-67.27;-67.07;-66.65;-51.80
1517.110;-4.73;-67.27;-67.07;-66.66;-51.82
1517.120;-4.73;-67.28;-67.08;-66.66;-51.91
1517.130;-4.73;-67.28;-67.08;-66.66;-51.84
1517.140;-4.72;-67.28;-67.08;-66.67;-51.80
1517.150;-4.72;-67.28;-67.08;-66.67;-51.79
1517.160;-4.73;-67.28;-67.08;-66.66;-51.75
1517.170;-4.69;-67.31;-67.11;-66.70;-51.79
1517.180;-4.70;-67.30;-67.10;-66.68;-51.74
1517.190;-4.73;-67.28;-67.08;-66.66;-51.74
1517.200;-4.73;-67.28;-67.08;-66.66;-51.68
1517.210;-4.73;-67.28;-67.08;-66.66;-51.60
1517.220;-4.72;-67.28;-67.08;-66.66;-51.64
1517.230;-4.72;-67.29;-67.09;-66.67;-51.69
1517.240;-4.74;-67.26;-67.06;-66.65;-51.66
1517.250;-4.73;-67.27;-67.07;-66.66;-51.71
1517.260;-4.73;-67.28;-67.08;-66.66;-51.60
1517.270;-4.72;-67.28;-67.08;-66.66;-51.65
1517.280;-4.72;-67.28;-67.08;-66.67;-51.55
1517.290;-4.73;-67.28;-67.07;-66.66;-51.54
1517.300;-4.74;-67.26;-67.06;-66.64;-51.64
1517.310;-4.73;-67.28;-67.07;-66.66;-51.54
1517.320;-4.73;-67.27;-67.07;-66.65;-51.54
1517.330;-4.73;-67.27;-67.07;-66.65;-51.52
1517.340;-4.73;-67.28;-67.07;-66.66;-51.63
1517.350;-4.74;-67.26;-67.06;-66.64;-51.45
1517.360;-4.73;-67.28;-67.07;-66.66;-51.55
1517.370;-4.72;-67.28;-67.08;-66.66;-51.53
1517.380;-4.72;-67.28;-67.08;-66.66;-51.59
1517.390;-4.73;-67.28;-67.07;-66.66;-51.59
1517.400;-4.73;-67.27;-67.07;-66.65;-51.39
1517.410;-4.74;-67.26;-67.06;-66.64;-51.54
1517.420;-4.73;-67.28;-67.07;-66.66;-51.61
1517.430;-4.73;-67.28;-67.07;-66.66;-51.32
1517.440;-4.73;-67.28;-67.07;-66.66;-51.48
1517.450;-4.71;-67.29;-67.08;-66.67;-51.22
1517.460;-4.74;-67.27;-67.06;-66.65;-51.21
1517.470;-4.73;-67.27;-67.06;-66.65;-51.15
1517.480;-4.73;-67.28;-67.07;-66.65;-51.29
1517.490;-4.73;-67.27;-67.07;-66.65;-51.13
1517.500;-4.74;-67.26;-67.06;-66.64;-51.09
1517.510;-4.73;-67.28;-67.07;-66.65;-51.08
1517.520;-4.74;-67.26;-67.06;-66.64;-51.01
1517.530;-4.73;-67.28;-67.07;-66.65;-51.06
1517.540;-4.73;-67.28;-67.07;-66.65;-51.12
1517.550;-4.74;-67.26;-67.05;-66.64;-50.96
1517.560;-4.74;-67.26;-67.06;-66.64;-51.02
1517.570;-4.73;-67.28;-67.07;-66.65;-50.94
1517.580;-4.75;-67.26;-67.05;-66.63;-50.95
1517.590;-4.74;-67.26;-67.06;-66.64;-50.89
1517.600;-4.74;-67.27;-67.06;-66.64;-50.93
1517.610;-4.75;-67.26;-67.05;-66.63;-50.96
1517.620;-4.73;-67.28;-67.07;-66.65;-50.93
1517.630;-4.75;-67.25;-67.05;-66.63;-50.97
1517.640;-4.76;-67.25;-67.04;-66.62;-50.89
1517.650;-4.73;-67.27;-67.06;-66.65;-51.03
1517.660;-4.76;-67.24;-67.03;-66.62;-50.93
1517.670;-4.76;-67.24;-67.03;-66.62;-50.87
1517.680;-4.73;-67.28;-67.07;-66.65;-51.03
1517.690;-4.75;-67.26;-67.05;-66.63;-51.01
1517.700;-4.74;-67.27;-67.06;-66.64;-50.97
1517.710;-4.73;-67.28;-67.07;-66.65;-50.87
1517.720;-4.73;-67.28;-67.06;-66.65;-51.02
1517.730;-4.73;-67.28;-67.06;-66.65;-51.06
1517.740;-4.73;-67.28;-67.06;-66.65;-51.06
1517.750;-4.73;-67.28;-67.06;-66.65;-51.06
1517.760;-4.73;-67.28;-67.06;-66.65;-51.23
1517.770;-4.73;-67.27;-67.06;-66.64;-51.25
1517.780;-4.74;-67.27;-67.06;-66.64;-51.25
1517.790;-4.71;-67.29;-67.08;-66.66;-51.34
1517.800;-4.73;-67.28;-67.06;-66.65;-51.23
1517.810;-4.74;-67.26;-67.05;-66.63;-51.40
1517.820;-4.73;-67.27;-67.06;-66.64;-51.48
1517.830;-4.75;-67.26;-67.05;-66.63;-51.43
1517.840;-4.73;-67.27;-67.06;-66.65;-51.55
1517.850;-4.73;-67.28;-67.06;-66.65;-51.52
1517.860;-4.73;-67.27;-67.06;-66.64;-51.49
1517.870;-4.74;-67.27;-67.05;-66.64;-51.61
1517.880;-4.73;-67.28;-67.06;-66.65;-51.50
1517.890;-4.73;-67.28;-67.06;-66.65;-51.48
1517.900;-4.72;-67.28;-67.07;-66.65;-51.57
1517.910;-4.72;-67.29;-67.07;-66.66;-51.45
1517.920;-4.73;-67.28;-67.06;-66.65;-51.51
1517.930;-4.71;-67.29;-67.08;-66.66;-51.53
1517.940;-4.71;-67.29;-67.08;-66.67;-51.43
1517.950;-4.73;-67.28;-67.06;-66.65;-51.52
1517.960;-4.72;-67.28;-67.07;-66.66;-51.48
1517.970;-4.72;-67.28;-67.07;-66.66;-51.54
1517.980;-4.71;-67.29;-67.08;-66.67;-51.54
1517.990;-4.71;-67.29;-67.08;-66.67;-51.43
1518.000;-4.73;-67.28;-67.06;-66.65;-51.50
1518.010;-4.73;-67.28;-67.06;-66.65;-51.55
1518.020;-4.73;-67.28;-67.06;-66.65;-51.45
1518.030;-4.73;-67.28;-67.06;-66.65;-51.55
1518.040;-4.71;-67.29;-67.08;-66.67;-51.53
1518.050;-4.73;-67.28;-67.07;-66.65;-51.44
1518.060;-4.75;-67.26;-67.05;-66.63;-51.41
1518.070;-4.71;-67.29;-67.08;-66.66;-51.60
1518.080;-4.73;-67.28;-67.06;-66.65;-51.49
1518.090;-4.72;-67.28;-67.07;-66.66;-51.55
1518.100;-4.71;-67.29;-67.08;-66.67;-51.46
1518.110;-4.72;-67.28;-67.07;-66.66;-51.45
1518.120;-4.73;-67.28;-67.07;-66.65;-51.41
1518.130;-4.71;-67.29;-67.08;-66.67;-51.26
1518.140;-4.73;-67.28;-67.07;-66.65;-51.27
1518.150;-4.72;-67.29;-67.08;-66.66;-51.34
1518.160;-4.73;-67.28;-67.07;-66.65;-51.18
1518.170;-4.73;-67.28;-67.07;-66.65;-51.27
1518.180;-4.73;-67.28;-67.07;-66.65;-51.22
1518.190;-4.73;-67.28;-67.07;-66.65;-51.17
1518.200;-4.74;-67.26;-67.05;-66.64;-51.39
1518.210;-4.73;-67.27;-67.06;-66.65;-51.08
1518.220;-4.73;-67.27;-67.06;-66.65;-51.02
1518.230;-4.75;-67.26;-67.05;-66.63;-51.08
1518.240;-4.73;-67.27;-67.06;-66.65;-51.04
1518.250;-4.74;-67.26;-67.05;-66.64;-51.05
1518.260;-4.73;-67.28;-67.07;-66.65;-50.99
1518.270;-4.73;-67.28;-67.07;-66.65;-50.97
1518.280;-4.75;-67.26;-67.05;-66.63;-50.93
1518.290;-4.75;-67.25;-67.04;-66.63;-50.94
1518.300;-4.73;-67.27;-67.07;-66.65;-50.84
1518.310;-4.73;-67.27;-67.06;-66.65;-50.85
1518.320;-4.75;-67.26;-67.05;-66.63;-50.84
1518.330;-4.75;-67.26;-67.05;-66.64;-50.91
1518.340;-4.76;-67.24;-67.03;-66.62;-50.93
1518.350;-4.73;-67.27;-67.07;-66.65;-50.88
1518.360;-4.75;-67.25;-67.04;-66.63;-50.84
1518.370;-4.76;-67.24;-67.03;-66.62;-50.85
1518.380;-4.73;-67.27;-67.06;-66.65;-50.92
1518.390;-4.73;-67.28;-67.07;-66.65;-50.95
1518.400;-4.76;-67.24;-67.03;-66.62;-50.99
1518.410;-4.75;-67.26;-67.05;-66.64;-50.87
1518.420;-4.76;-67.25;-67.04;-66.63;-50.89
1518.430;-4.75;-67.25;-67.05;-66.63;-50.90
1518.440;-4.75;-67.26;-67.05;-66.64;-50.94
1518.450;-4.76;-67.24;-67.03;-66.62;-50.87
1518.460;-4.75;-67.26;-67.05;-66.63;-50.92
1518.470;-4.74;-67.26;-67.06;-66.64;-50.91
1518.480;-4.76;-67.24;-67.03;-66.62;-50.98
1518.490;-4.73;-67.28;-67.07;-66.65;-50.99
1518.500;-4.73;-67.27;-67.06;-66.65;-50.97
1518.510;-4.74;-67.27;-67.06;-66.65;-51.01
1518.520;-4.73;-67.28;-67.07;-66.65;-50.94
1518.530;-4.73;-67.28;-67.07;-66.65;-50.94
1518.540;-4.73;-67.28;-67.07;-66.65;-50.85
1518.550;-4.73;-67.28;-67.07;-66.65;-50.88
1518.560;-4.73;-67.28;-67.07;-66.65;-50.85
1518.570;-4.74;-67.26;-67.05;-66.64;-50.89
1518.580;-4.73;-67.28;-67.07;-66.65;-50.90
1518.590;-4.73;-67.28;-67.07;-66.65;-50.84
1518.600;-4.73;-67.28;-67.07;-66.65;-50.78
1518.610;-4.73;-67.28;-67.07;-66.66;-50.82
1518.620;-4.73;-67.28;-67.07;-66.66;-50.93
1518.630;-4.73;-67.28;-67.07;-66.66;-50.79
1518.640;-4.73;-67.28;-67.07;-66.66;-50.78
1518.650;-4.74;-67.26;-67.06;-66.64;-50.88
1518.660;-4.73;-67.27;-67.06;-66.65;-50.97
1518.670;-4.71;-67.29;-67.08;-66.67;-50.93
1518.680;-4.74;-67.26;-67.05;-66.64;-50.87
1518.690;-4.72;-67.28;-67.08;-66.66;-51.08
1518.700;-4.72;-67.28;-67.07;-66.66;-51.00
1518.710;-4.71;-67.29;-67.08;-66.67;-51.13
1518.720;-4.68;-67.32;-67.12;-66.70;-51.05
1518.730;-4.71;-67.29;-67.08;-66.67;-51.25
1518.740;-4.72;-67.28;-67.07;-66.66;-51.18
1518.750;-4.70;-67.30;-67.09;-66.68;-51.24
1518.760;-4.73;-67.28;-67.07;-66.66;-51.18
1518.770;-4.72;-67.28;-67.07;-66.66;-51.16
1518.780;-4.72;-67.29;-67.08;-66.67;-51.26
1518.790;-4.73;-67.28;-67.07;-66.66;-51.31
1518.800;-4.73;-67.28;-67.07;-66.66;-51.16
1518.810;-4.71;-67.29;-67.08;-66.67;-51.18
1518.820;-4.73;-67.28;-67.07;-66.66;-51.22
1518.830;-4.71;-67.29;-67.08;-66.68;-51.25
1518.840;-4.72;-67.28;-67.07;-66.67;-51.25
1518.850;-4.71;-67.29;-67.08;-66.67;-51.20
1518.860;-4.71;-67.29;-67.08;-66.67;-51.08
1518.870;-4.73;-67.28;-67.07;-66.66;-51.14
1518.880;-4.73;-67.28;-67.07;-66.66;-51.19
1518.890;-4.71;-67.29;-67.08;-66.67;-51.23
1518.900;-4.73;-67.28;-67.07;-66.66;-51.05
1518.910;-4.70;-67.30;-67.09;-66.68;-51.13
1518.920;-4.71;-67.29;-67.08;-66.68;-51.06
1518.930;-4.73;-67.28;-67.07;-66.66;-51.26
1518.940;-4.73;-67.28;-67.07;-66.66;-51.08
1518.950;-4.71;-67.29;-67.08;-66.67;-51.16
1518.960;-4.73;-67.28;-67.06;-66.66;-51.29
1518.970;-4.72;-67.29;-67.08;-66.67;-51.32
1518.980;-4.72;-67.28;-67.07;-66.66;-51.25
1518.990;-4.74;-67.26;-67.05;-66.64;-51.25
1519.000;-4.71;-67.29;-67.08;-66.67;-51.30
1519.010;-4.73;-67.28;-67.06;-66.66;-51.29
1519.020;-4.73;-67.28;-67.06;-66.66;-51.37
1519.030;-4.71;-67.29;-67.08;-66.67;-51.28
1519.040;-4.73;-67.27;-67.06;-66.65;-51.33
1519.050;-4.76;-67.25;-67.03;-66.63;-51.34
1519.060;-4.75;-67.26;-67.05;-66.64;-51.42
1519.070;-4.77;-67.23;-67.02;-66.61;-51.27
1519.080;-4.73;-67.27;-67.06;-66.66;-51.38
1519.090;-4.73;-67.27;-67.06;-66.66;-51.37
1519.100;-4.75;-67.26;-67.05;-66.64;-51.28
1519.110;-4.72;-67.28;-67.07;-66.66;-51.19
1519.120;-4.72;-67.28;-67.07;-66.66;-51.25
1519.130;-4.76;-67.24;-67.03;-66.63;-51.39
1519.140;-4.73;-67.27;-67.06;-66.65;-51.37
1519.150;-4.75;-67.26;-67.05;-66.64;-51.15
1519.160;-4.76;-67.24;-67.03;-66.63;-51.24
1519.170;-4.75;-67.26;-67.04;-66.64;-51.21
1519.180;-4.73;-67.27;-67.06;-66.65;-51.17
1519.190;-4.76;-67.25;-67.03;-66.63;-51.28
1519.200;-4.73;-67.27;-67.06;-66.65;-51.29
1519.210;-4.76;-67.25;-67.03;-66.63;-51.14
1519.220;-4.75;-67.26;-67.05;-66.64;-51.30
1519.230;-4.75;-67.26;-67.05;-66.64;-51.24
1519.240;-4.76;-67.24;-67.03;-66.63;-51.12
1519.250;-4.78;-67.22;-67.01;-66.61;-51.15
1519.260;-4.76;-67.24;-67.03;-66.62;-51.29
1519.270;-4.78;-67.22;-67.01;-66.61;-51.06
1519.280;-4.76;-67.24;-67.03;-66.62;-51.11
1519.290;-4.76;-67.24;-67.03;-66.62;-51.06
1519.300;-4.78;-67.23;-67.01;-66.61;-50.99
1519.310;-4.75;-67.26;-67.04;-66.64;-51.23
1519.320;-4.75;-67.25;-67.04;-66.64;-51.18
1519.330;-4.77;-67.23;-67.02;-66.61;-51.21
1519.340;-4.76;-67.24;-67.03;-66.63;-51.09
1519.350;-4.76;-67.24;-67.03;-66.63;-51.27
1519.360;-4.76;-67.24;-67.03;-66.63;-51.28
1519.370;-4.75;-67.25;-67.04;-66.64;-51.11
1519.380;-4.76;-67.24;-67.03;-66.62;-51.19
1519.390;-4.75;-67.25;-67.04;-66.64;-51.16
1519.400;-4.75;-67.26;-67.04;-66.64;-51.33
1519.410;-4.76;-67.24;-67.03;-66.63;-51.21
1519.420;-4.74;-67.26;-67.05;-66.65;-51.31
1519.430;-4.73;-67.28;-67.06;-66.66;-51.26
1519.440;-4.76;-67.25;-67.03;-66.63;-51.22
1519.450;-4.73;-67.28;-67.06;-66.66;-51.24
1519.460;-4.73;-67.28;-67.06;-66.66;-51.16
1519.470;-4.73;-67.28;-67.06;-66.66;-51.16
1519.480;-4.73;-67.28;-67.06;-66.66;-51.12
1519.490;-4.73;-67.28;-67.06;-66.66;-51.15
1519.500;-4.74;-67.26;-67.05;-66.64;-51.14
1519.510;-4.73;-67.28;-67.06;-66.66;-51.08
1519.520;-4.73;-67.28;-67.06;-66.66;-50.97
1519.530;-4.73;-67.28;-67.06;-66.66;-50.97
1519.540;-4.73;-67.28;-67.06;-66.66;-50.92
1519.550;-4.73;-67.27;-67.06;-66.65;-50.86
1519.560;-4.74;-67.27;-67.05;-66.65;-50.81
1519.570;-4.73;-67.28;-67.06;-66.66;-50.79
1519.580;-4.73;-67.28;-67.06;-66.66;-50.84
1519.590;-4.73;-67.28;-67.06;-66.66;-50.81
1519.600;-4.71;-67.29;-67.07;-66.67;-50.74
1519.610;-4.73;-67.28;-67.06;-66.66;-50.77
1519.620;-4.71;-67.29;-67.08;-66.67;-50.77
1519.630;-4.73;-67.28;-67.06;-66.66;-50.71
1519.640;-4.73;-67.28;-67.06;-66.66;-50.72
1519.650;-4.73;-67.28;-67.06;-66.66;-50.73
1519.660;-4.73;-67.28;-67.06;-66.66;-50.82
1519.670;-4.74;-67.26;-67.05;-66.64;-50.82
1519.680;-4.73;-67.28;-67.06;-66.66;-50.78
1519.690;-4.73;-67.28;-67.06;-66.65;-50.79
1519.700;-4.73;-67.28;-67.06;-66.65;-50.87
1519.710;-4.73;-67.28;-67.06;-66.65;-50.88
1519.720;-4.74;-67.26;-67.05;-66.64;-50.90
1519.730;-4.74;-67.26;-67.05;-66.64;-50.97
1519.740;-4.73;-67.27;-67.06;-66.65;-50.93
1519.750;-4.74;-67.27;-67.05;-66.65;-51.04
1519.760;-4.73;-67.28;-67.06;-66.65;-51.08
1519.770;-4.73;-67.28;-67.06;-66.65;-51.25
1519.780;-4.75;-67.26;-67.04;-66.64;-51.24
1519.790;-4.74;-67.27;-67.05;-66.64;-51.15
1519.800;-4.75;-67.25;-67.04;-66.63;-51.28
1519.810;-4.73;-67.27;-67.06;-66.65;-51.28
1519.820;-4.73;-67.28;-67.06;-66.65;-51.23
1519.830;-4.74;-67.27;-67.05;-66.64;-51.31
1519.840;-4.75;-67.25;-67.04;-66.63;-51.47
1519.850;-4.76;-67.25;-67.03;-66.62;-51.47
