WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL
1499.310;-4.59;-67.38;-67.17;-38.53
1499.320;-4.59;-67.38;-67.16;-38.49
1499.330;-4.58;-67.39;-67.17;-38.47
1499.340;-4.58;-67.39;-67.17;-38.52
1499.350;-4.60;-67.38;-67.16;-38.46
1499.360;-4.59;-67.38;-67.16;-38.43
1499.370;-4.59;-67.38;-67.17;-38.41
1499.380;-4.58;-67.39;-67.17;-38.52
1499.390;-4.59;-67.38;-67.17;-38.47
1499.400;-4.60;-67.37;-67.15;-38.39
1499.410;-4.60;-67.37;-67.15;-38.45
1499.420;-4.62;-67.35;-67.14;-38.48
1499.430;-4.62;-67.36;-67.14;-38.48
1499.440;-4.60;-67.37;-67.15;-38.45
1499.450;-4.59;-67.38;-67.17;-38.41
1499.460;-4.60;-67.37;-67.15;-38.38
1499.470;-4.62;-67.35;-67.14;-38.35
1499.480;-4.60;-67.37;-67.15;-38.40
1499.490;-4.60;-67.37;-67.15;-38.45
1499.500;-4.60;-67.37;-67.15;-38.44
1499.510;-4.60;-67.37;-67.15;-38.36
1499.520;-4.60;-67.37;-67.15;-38.35
1499.530;-4.60;-67.37;-67.15;-38.43
1499.540;-4.60;-67.37;-67.15;-38.42
1499.550;-4.60;-67.37;-67.16;-38.43
1499.560;-4.59;-67.38;-67.16;-38.40
1499.570;-4.62;-67.35;-67.14;-38.41
1499.580;-4.62;-67.35;-67.13;-38.39
1499.590;-4.63;-67.33;-67.12;-38.44
1499.600;-4.63;-67.34;-67.13;-38.41
1499.610;-4.61;-67.36;-67.14;-38.40
1499.620;-4.62;-67.35;-67.13;-38.46
1499.630;-4.60;-67.37;-67.15;-38.40
1499.640;-4.62;-67.35;-67.13;-38.38
1499.650;-4.62;-67.34;-67.13;-38.39
1499.660;-4.64;-67.33;-67.12;-38.40
1499.670;-4.60;-67.37;-67.15;-38.42
1499.680;-4.61;-67.36;-67.14;-38.44
1499.690;-4.61;-67.36;-67.15;-38.39
1499.700;-4.62;-67.35;-67.13;-38.39
1499.710;-4.60;-67.37;-67.15;-38.45
1499.720;-4.59;-67.37;-67.16;-38.39
1499.730;-4.60;-67.37;-67.16;-38.48
1499.740;-4.58;-67.38;-67.17;-38.50
1499.750;-4.59;-67.37;-67.16;-38.46
1499.760;-4.62;-67.35;-67.13;-38.45
1499.770;-4.61;-67.36;-67.15;-38.50
1499.780;-4.62;-67.35;-67.13;-38.52
1499.790;-4.63;-67.34;-67.12;-38.53
1499.800;-4.60;-67.37;-67.15;-38.52
1499.810;-4.60;-67.37;-67.15;-38.49
1499.820;-4.60;-67.37;-67.15;-38.51
1499.830;-4.59;-67.38;-67.17;-38.54
1499.840;-4.61;-67.36;-67.14;-38.47
1499.850;-4.59;-67.37;-67.16;-38.51
1499.860;-4.58;-67.38;-67.17;-38.58
1499.870;-4.58;-67.38;-67.17;-38.55
1499.880;-4.58;-67.38;-67.17;-38.61
1499.890;-4.60;-67.37;-67.16;-38.57
1499.900;-4.62;-67.35;-67.13;-38.51
1499.910;-4.58;-67.38;-67.17;-38.61
1499.920;-4.59;-67.38;-67.16;-38.59
1499.930;-4.59;-67.38;-67.17;-38.55
1499.940;-4.58;-67.38;-67.17;-38.61
1499.950;-4.59;-67.38;-67.17;-38.57
1499.960;-4.59;-67.37;-67.16;-38.55
1499.970;-4.58;-67.38;-67.17;-38.61
1499.980;-4.58;-67.38;-67.17;-38.57
1499.990;-4.59;-67.38;-67.17;-38.57
1500.000;-4.60;-67.37;-67.15;-38.56
1500.010;-4.59;-67.38;-67.16;-38.64
1500.020;-4.58;-67.38;-67.17;-38.54
1500.030;-4.59;-67.38;-67.17;-38.49
1500.040;-4.59;-67.37;-67.16;-38.57
1500.050;-4.60;-67.37;-67.16;-38.59
1500.060;-4.60;-67.37;-67.15;-38.55
1500.070;-4.59;-67.38;-67.17;-38.51
1500.080;-4.60;-67.37;-67.15;-38.57
1500.090;-4.60;-67.37;-67.15;-38.59
1500.100;-4.59;-67.38;-67.17;-38.54
1500.110;-4.59;-67.38;-67.17;-38.57
1500.120;-4.59;-67.37;-67.16;-38.59
1500.130;-4.60;-67.37;-67.16;-38.60
1500.140;-4.60;-67.37;-67.15;-38.58
1500.150;-4.58;-67.38;-67.17;-38.61
1500.160;-4.58;-67.38;-67.17;-38.55
1500.170;-4.60;-67.37;-67.16;-38.61
1500.180;-4.59;-67.38;-67.17;-38.57
1500.190;-4.58;-67.38;-67.17;-38.59
1500.200;-4.59;-67.38;-67.16;-38.65
1500.210;-4.59;-67.38;-67.16;-38.64
1500.220;-4.60;-67.37;-67.15;-38.55
1500.230;-4.60;-67.37;-67.16;-38.59
1500.240;-4.58;-67.38;-67.17;-38.58
1500.250;-4.60;-67.37;-67.16;-38.56
1500.260;-4.60;-67.37;-67.15;-38.64
1500.270;-4.60;-67.37;-67.15;-38.61
1500.280;-4.60;-67.37;-67.15;-38.62
1500.290;-4.59;-67.38;-67.16;-38.57
1500.300;-4.60;-67.37;-67.15;-38.62
1500.310;-4.60;-67.37;-67.15;-38.63
1500.320;-4.59;-67.37;-67.16;-38.67
1500.330;-4.61;-67.36;-67.15;-38.62
1500.340;-4.60;-67.36;-67.15;-38.66
1500.350;-4.59;-67.38;-67.16;-38.63
1500.360;-4.61;-67.35;-67.14;-38.65
1500.370;-4.59;-67.38;-67.16;-38.71
1500.380;-4.58;-67.38;-67.17;-38.70
1500.390;-4.61;-67.36;-67.15;-38.64
1500.400;-4.62;-67.35;-67.13;-38.68
1500.410;-4.62;-67.35;-67.13;-38.76
1500.420;-4.60;-67.36;-67.15;-38.69
1500.430;-4.60;-67.36;-67.15;-38.68
1500.440;-4.60;-67.36;-67.15;-38.70
1500.450;-4.59;-67.38;-67.16;-38.75
1500.460;-4.57;-67.40;-67.19;-38.77
1500.470;-4.58;-67.38;-67.17;-38.69
1500.480;-4.58;-67.38;-67.17;-38.73
1500.490;-4.58;-67.38;-67.17;-38.75
1500.500;-4.60;-67.36;-67.15;-38.80
1500.510;-4.60;-67.36;-67.15;-38.72
1500.520;-4.60;-67.37;-67.16;-38.83
1500.530;-4.60;-67.37;-67.16;-38.78
1500.540;-4.58;-67.38;-67.17;-38.81
1500.550;-4.60;-67.36;-67.15;-38.86
1500.560;-4.60;-67.36;-67.15;-38.78
1500.570;-4.60;-67.36;-67.15;-38.73
1500.580;-4.60;-67.36;-67.15;-38.73
1500.590;-4.60;-67.36;-67.15;-38.72
1500.600;-4.59;-67.37;-67.16;-38.78
1500.610;-4.61;-67.35;-67.14;-38.84
1500.620;-4.60;-67.36;-67.15;-38.82
1500.630;-4.61;-67.35;-67.15;-38.85
1500.640;-4.62;-67.34;-67.13;-38.80
1500.650;-4.59;-67.37;-67.16;-38.79
1500.660;-4.58;-67.38;-67.17;-38.87
1500.670;-4.60;-67.36;-67.15;-38.80
1500.680;-4.58;-67.38;-67.17;-38.85
1500.690;-4.60;-67.37;-67.16;-38.94
1500.700;-4.62;-67.34;-67.14;-38.75
1500.710;-4.59;-67.37;-67.17;-38.76
1500.720;-4.61;-67.35;-67.15;-38.79
1500.730;-4.61;-67.35;-67.14;-38.85
1500.740;-4.60;-67.36;-67.15;-38.79
1500.750;-4.62;-67.34;-67.14;-38.78
1500.760;-4.58;-67.37;-67.17;-38.77
1500.770;-4.58;-67.37;-67.17;-38.73
1500.780;-4.58;-67.37;-67.17;-38.66
1500.790;-4.58;-67.37;-67.17;-38.76
1500.800;-4.59;-67.37;-67.16;-38.76
1500.810;-4.60;-67.36;-67.15;-38.78
1500.820;-4.59;-67.37;-67.17;-38.77
1500.830;-4.60;-67.36;-67.15;-38.68
1500.840;-4.58;-67.37;-67.17;-38.76
1500.850;-4.58;-67.37;-67.17;-38.69
1500.860;-4.58;-67.37;-67.17;-38.78
1500.870;-4.58;-67.37;-67.17;-38.70
1500.880;-4.58;-67.37;-67.17;-38.80
1500.890;-4.58;-67.37;-67.17;-38.72
1500.900;-4.58;-67.37;-67.17;-38.72
1500.910;-4.59;-67.37;-67.17;-38.72
1500.920;-4.60;-67.36;-67.16;-38.68
1500.930;-4.58;-67.37;-67.17;-38.69
1500.940;-4.58;-67.37;-67.17;-38.72
1500.950;-4.58;-67.37;-67.17;-38.82
1500.960;-4.58;-67.37;-67.17;-38.72
1500.970;-4.58;-67.37;-67.17;-38.75
1500.980;-4.57;-67.38;-67.18;-38.70
1500.990;-4.57;-67.39;-67.19;-38.60
1501.000;-4.57;-67.39;-67.19;-38.71
1501.010;-4.58;-67.38;-67.18;-38.76
1501.020;-4.58;-67.37;-67.17;-38.77
1501.030;-4.58;-67.37;-67.17;-38.79
1501.040;-4.57;-67.38;-67.18;-38.77
1501.050;-4.57;-67.38;-67.18;-38.71
1501.060;-4.58;-67.37;-67.17;-38.70
1501.070;-4.58;-67.37;-67.17;-38.71
1501.080;-4.58;-67.37;-67.17;-38.72
1501.090;-4.58;-67.37;-67.17;-38.75
1501.100;-4.58;-67.37;-67.17;-38.74
1501.110;-4.58;-67.37;-67.17;-38.76
1501.120;-4.58;-67.37;-67.17;-38.72
1501.130;-4.58;-67.38;-67.18;-38.75
1501.140;-4.58;-67.37;-67.17;-38.79
1501.150;-4.58;-67.37;-67.17;-38.81
1501.160;-4.57;-67.39;-67.19;-38.75
1501.170;-4.56;-67.40;-67.20;-38.74
1501.180;-4.57;-67.38;-67.18;-38.77
1501.190;-4.57;-67.39;-67.19;-38.78
1501.200;-4.57;-67.39;-67.19;-38.72
1501.210;-4.57;-67.38;-67.18;-38.70
1501.220;-4.58;-67.37;-67.17;-38.73
1501.230;-4.58;-67.37;-67.17;-38.76
1501.240;-4.58;-67.37;-67.17;-38.70
1501.250;-4.58;-67.37;-67.17;-38.71
1501.260;-4.58;-67.37;-67.17;-38.74
1501.270;-4.58;-67.37;-67.17;-38.63
1501.280;-4.58;-67.37;-67.17;-38.65
1501.290;-4.59;-67.36;-67.16;-38.66
1501.300;-4.59;-67.37;-67.16;-38.66
1501.310;-4.58;-67.37;-67.17;-38.60
1501.320;-4.58;-67.37;-67.17;-38.66
1501.330;-4.58;-67.37;-67.17;-38.63
1501.340;-4.58;-67.37;-67.17;-38.68
1501.350;-4.60;-67.36;-67.15;-38.70
1501.360;-4.58;-67.37;-67.17;-38.68
1501.370;-4.58;-67.37;-67.17;-38.64
1501.380;-4.60;-67.36;-67.16;-38.69
1501.390;-4.59;-67.37;-67.17;-38.66
1501.400;-4.58;-67.37;-67.17;-38.74
1501.410;-4.59;-67.37;-67.16;-38.66
1501.420;-4.59;-67.37;-67.16;-38.68
1501.430;-4.58;-67.37;-67.17;-38.69
1501.440;-4.60;-67.36;-67.15;-38.69
1501.450;-4.60;-67.36;-67.16;-38.63
1501.460;-4.61;-67.35;-67.15;-38.62
1501.470;-4.60;-67.36;-67.15;-38.63
1501.480;-4.60;-67.36;-67.15;-38.64
1501.490;-4.59;-67.37;-67.16;-38.72
1501.500;-4.59;-67.37;-67.16;-38.64
1501.510;-4.58;-67.38;-67.17;-38.62
1501.520;-4.58;-67.38;-67.17;-38.62
1501.530;-4.59;-67.37;-67.16;-38.62
1501.540;-4.59;-67.37;-67.16;-38.64
1501.550;-4.58;-67.38;-67.17;-38.63
1501.560;-4.58;-67.38;-67.17;-38.59
1501.570;-4.58;-67.38;-67.17;-38.58
1501.580;-4.58;-67.38;-67.17;-38.59
1501.590;-4.58;-67.38;-67.17;-38.60
1501.600;-4.60;-67.36;-67.15;-38.54
1501.610;-4.58;-67.38;-67.17;-38.61
1501.620;-4.58;-67.38;-67.17;-38.57
1501.630;-4.60;-67.36;-67.15;-38.60
1501.640;-4.58;-67.38;-67.17;-38.54
1501.650;-4.58;-67.38;-67.17;-38.58
1501.660;-4.58;-67.38;-67.17;-38.61
1501.670;-4.58;-67.38;-67.17;-38.55
1501.680;-4.58;-67.38;-67.17;-38.56
1501.690;-4.58;-67.38;-67.17;-38.56
1501.700;-4.58;-67.38;-67.17;-38.59
1501.710;-4.58;-67.38;-67.17;-38.53
1501.720;-4.58;-67.38;-67.17;-38.66
1501.730;-4.58;-67.39;-67.18;-38.58
1501.740;-4.57;-67.40;-67.19;-38.59
1501.750;-4.57;-67.40;-67.19;-38.61
1501.760;-4.58;-67.38;-67.17;-38.50
1501.770;-4.58;-67.39;-67.18;-38.56
1501.780;-4.57;-67.40;-67.19;-38.61
1501.790;-4.57;-67.40;-67.19;-38.59
1501.800;-4.57;-67.40;-67.19;-38.58
1501.810;-4.57;-67.40;-67.19;-38.56
1501.820;-4.57;-67.40;-67.19;-38.61
1501.830;-4.57;-67.40;-67.19;-38.59
1501.840;-4.57;-67.40;-67.19;-38.65
1501.850;-4.58;-67.38;-67.17;-38.59
1501.860;-4.58;-67.39;-67.18;-38.60
1501.870;-4.58;-67.39;-67.17;-38.64
1501.880;-4.58;-67.38;-67.17;-38.67
1501.890;-4.57;-67.40;-67.18;-38.62
1501.900;-4.58;-67.39;-67.18;-38.65
1501.910;-4.57;-67.40;-67.19;-38.64
1501.920;-4.57;-67.40;-67.19;-38.72
1501.930;-4.57;-67.40;-67.18;-38.63
1501.940;-4.58;-67.39;-67.18;-38.68
1501.950;-4.58;-67.39;-67.18;-38.62
1501.960;-4.58;-67.38;-67.17;-38.65
1501.970;-4.57;-67.40;-67.19;-38.69
1501.980;-4.56;-67.41;-67.20;-38.73
1501.990;-4.57;-67.39;-67.18;-38.64
1502.000;-4.58;-67.38;-67.17;-38.65
1502.010;-4.56;-67.40;-67.19;-38.61
1502.020;-4.56;-67.41;-67.20;-38.68
1502.030;-4.58;-67.39;-67.18;-38.61
1502.040;-4.58;-67.38;-67.17;-38.66
1502.050;-4.58;-67.38;-67.17;-38.64
1502.060;-4.58;-67.38;-67.17;-38.70
1502.070;-4.58;-67.38;-67.17;-38.76
1502.080;-4.58;-67.38;-67.17;-38.67
1502.090;-4.59;-67.38;-67.17;-38.69
1502.100;-4.60;-67.37;-67.16;-38.63
1502.110;-4.58;-67.38;-67.17;-38.64
1502.120;-4.58;-67.38;-67.17;-38.57
1502.130;-4.58;-67.38;-67.17;-38.61
1502.140;-4.58;-67.38;-67.17;-38.60
1502.150;-4.58;-67.38;-67.17;-38.64
1502.160;-4.58;-67.38;-67.17;-38.64
1502.170;-4.58;-67.38;-67.17;-38.71
1502.180;-4.58;-67.38;-67.17;-38.66
1502.190;-4.58;-67.38;-67.17;-38.67
1502.200;-4.60;-67.37;-67.15;-38.66
1502.210;-4.60;-67.37;-67.15;-38.61
1502.220;-4.58;-67.38;-67.17;-38.70
1502.230;-4.61;-67.36;-67.15;-38.64
1502.240;-4.61;-67.36;-67.15;-38.69
1502.250;-4.59;-67.38;-67.17;-38.70
1502.260;-4.62;-67.35;-67.13;-38.65
1502.270;-4.61;-67.36;-67.14;-38.63
1502.280;-4.59;-67.38;-67.17;-38.67
1502.290;-4.60;-67.37;-67.15;-38.64
1502.300;-4.58;-67.38;-67.17;-38.65
1502.310;-4.59;-67.37;-67.16;-38.70
1502.320;-4.60;-67.37;-67.15;-38.71
1502.330;-4.60;-67.37;-67.15;-38.67
1502.340;-4.61;-67.36;-67.15;-38.63
1502.350;-4.60;-67.37;-67.15;-38.63
1502.360;-4.58;-67.38;-67.17;-38.58
1502.370;-4.58;-67.38;-67.17;-38.64
1502.380;-4.60;-67.37;-67.16;-38.62
1502.390;-4.59;-67.37;-67.16;-38.58
1502.400;-4.59;-67.38;-67.17;-38.56
1502.410;-4.58;-67.38;-67.17;-38.54
1502.420;-4.58;-67.39;-67.17;-38.60
1502.430;-4.58;-67.39;-67.18;-38.58
1502.440;-4.58;-67.38;-67.17;-38.63
1502.450;-4.57;-67.40;-67.19;-38.65
1502.460;-4.58;-67.39;-67.17;-38.63
1502.470;-4.57;-67.39;-67.18;-38.59
1502.480;-4.57;-67.40;-67.18;-38.57
1502.490;-4.58;-67.38;-67.17;-38.53
1502.500;-4.58;-67.38;-67.17;-38.53
1502.510;-4.58;-67.38;-67.17;-38.53
1502.520;-4.57;-67.40;-67.18;-38.60
1502.530;-4.57;-67.40;-67.19;-38.54
1502.540;-4.57;-67.40;-67.18;-38.58
1502.550;-4.58;-67.38;-67.17;-38.57
1502.560;-4.58;-67.38;-67.17;-38.55
1502.570;-4.58;-67.38;-67.17;-38.58
1502.580;-4.55;-67.42;-67.20;-38.55
1502.590;-4.57;-67.40;-67.19;-38.51
1502.600;-4.58;-67.39;-67.18;-38.55
1502.610;-4.57;-67.40;-67.19;-38.55
1502.620;-4.57;-67.40;-67.19;-38.52
1502.630;-4.58;-67.39;-67.18;-38.51
1502.640;-4.57;-67.40;-67.19;-38.54
1502.650;-4.58;-67.38;-67.17;-38.49
1502.660;-4.57;-67.40;-67.19;-38.52
1502.670;-4.58;-67.38;-67.17;-38.47
1502.680;-4.57;-67.39;-67.18;-38.49
1502.690;-4.55;-67.41;-67.20;-38.60
1502.700;-4.55;-67.42;-67.20;-38.52
1502.710;-4.56;-67.41;-67.19;-38.52
1502.720;-4.56;-67.41;-67.20;-38.52
1502.730;-4.55;-67.41;-67.20;-38.51
1502.740;-4.57;-67.40;-67.19;-38.46
1502.750;-4.55;-67.41;-67.20;-38.54
1502.760;-4.57;-67.40;-67.19;-38.53
1502.770;-4.57;-67.40;-67.19;-38.49
1502.780;-4.58;-67.38;-67.17;-38.51
1502.790;-4.57;-67.40;-67.19;-38.48
1502.800;-4.57;-67.40;-67.19;-38.54
1502.810;-4.55;-67.41;-67.20;-38.46
1502.820;-4.57;-67.40;-67.19;-38.41
1502.830;-4.57;-67.40;-67.19;-38.54
1502.840;-4.58;-67.39;-67.18;-38.56
1502.850;-4.57;-67.39;-67.18;-38.49
1502.860;-4.58;-67.38;-67.17;-38.52
1502.870;-4.58;-67.38;-67.17;-38.49
1502.880;-4.58;-67.38;-67.17;-38.53
1502.890;-4.58;-67.38;-67.17;-38.52
1502.900;-4.58;-67.38;-67.17;-38.60
1502.910;-4.57;-67.39;-67.18;-38.51
1502.920;-4.58;-67.38;-67.17;-38.50
1502.930;-4.58;-67.38;-67.17;-38.50
1502.940;-4.58;-67.38;-67.17;-38.49
1502.950;-4.59;-67.37;-67.17;-38.49
1502.960;-4.60;-67.36;-67.15;-38.54
1502.970;-4.59;-67.37;-67.16;-38.54
1502.980;-4.58;-67.38;-67.17;-38.56
1502.990;-4.58;-67.38;-67.17;-38.51
1503.000;-4.59;-67.37;-67.16;-38.58
1503.010;-4.59;-67.37;-67.16;-38.57
1503.020;-4.58;-67.37;-67.17;-38.47
1503.030;-4.58;-67.37;-67.17;-38.51
1503.040;-4.59;-67.37;-67.16;-38.55
1503.050;-4.59;-67.37;-67.16;-38.57
1503.060;-4.60;-67.36;-67.15;-38.53
1503.070;-4.59;-67.37;-67.17;-38.53
1503.080;-4.60;-67.36;-67.15;-38.53
1503.090;-4.62;-67.33;-67.13;-38.52
1503.100;-4.59;-67.37;-67.16;-38.59
1503.110;-4.60;-67.35;-67.15;-38.56
1503.120;-4.61;-67.35;-67.15;-38.54
1503.130;-4.58;-67.37;-67.17;-38.56
1503.140;-4.61;-67.34;-67.14;-38.60
1503.150;-4.60;-67.36;-67.15;-38.59
1503.160;-4.58;-67.37;-67.17;-38.63
1503.170;-4.59;-67.36;-67.16;-38.65
1503.180;-4.59;-67.37;-67.17;-38.66
1503.190;-4.58;-67.37;-67.17;-38.67
1503.200;-4.58;-67.37;-67.17;-38.69
1503.210;-4.58;-67.37;-67.17;-38.67
1503.220;-4.58;-67.37;-67.17;-38.68
1503.230;-4.58;-67.37;-67.17;-38.66
1503.240;-4.58;-67.37;-67.17;-38.63
1503.250;-4.58;-67.37;-67.17;-38.66
1503.260;-4.58;-67.37;-67.17;-38.67
1503.270;-4.58;-67.37;-67.17;-38.71
1503.280;-4.58;-67.37;-67.17;-38.70
1503.290;-4.58;-67.38;-67.18;-38.71
1503.300;-4.58;-67.37;-67.17;-38.73
1503.310;-4.58;-67.37;-67.17;-38.64
1503.320;-4.58;-67.37;-67.17;-38.72
1503.330;-4.58;-67.37;-67.17;-38.71
1503.340;-4.58;-67.37;-67.17;-38.67
1503.350;-4.58;-67.37;-67.17;-38.73
1503.360;-4.58;-67.37;-67.17;-38.73
1503.370;-4.58;-67.37;-67.17;-38.79
1503.380;-4.58;-67.37;-67.17;-38.73
1503.390;-4.57;-67.38;-67.19;-38.74
1503.400;-4.58;-67.37;-67.18;-38.74
1503.410;-4.56;-67.39;-67.19;-38.76
1503.420;-4.58;-67.37;-67.17;-38.77
1503.430;-4.58;-67.37;-67.17;-38.76
1503.440;-4.57;-67.39;-67.19;-38.70
1503.450;-4.57;-67.39;-67.19;-38.77
1503.460;-4.56;-67.40;-67.20;-38.73
1503.470;-4.56;-67.39;-67.19;-38.81
1503.480;-4.58;-67.37;-67.17;-38.71
1503.490;-4.58;-67.37;-67.17;-38.80
1503.500;-4.58;-67.37;-67.17;-38.76
1503.510;-4.58;-67.37;-67.17;-38.82
1503.520;-4.57;-67.38;-67.18;-38.77
1503.530;-4.58;-67.37;-67.17;-38.76
1503.540;-4.58;-67.37;-67.17;-38.76
1503.550;-4.57;-67.38;-67.18;-38.76
1503.560;-4.58;-67.37;-67.17;-38.75
1503.570;-4.58;-67.37;-67.17;-38.78
1503.580;-4.58;-67.37;-67.17;-38.82
1503.590;-4.58;-67.37;-67.17;-38.73
1503.600;-4.58;-67.37;-67.17;-38.73
1503.610;-4.58;-67.37;-67.17;-38.79
1503.620;-4.58;-67.37;-67.17;-38.82
1503.630;-4.58;-67.37;-67.17;-38.76
1503.640;-4.58;-67.37;-67.16;-38.85
1503.650;-4.58;-67.37;-67.16;-38.68
1503.660;-4.58;-67.37;-67.16;-38.72
1503.670;-4.58;-67.37;-67.16;-38.88
1503.680;-4.60;-67.35;-67.15;-38.80
1503.690;-4.59;-67.36;-67.16;-38.75
1503.700;-4.60;-67.35;-67.15;-38.72
1503.710;-4.59;-67.36;-67.16;-38.72
1503.720;-4.60;-67.35;-67.15;-38.65
1503.730;-4.60;-67.35;-67.15;-38.80
1503.740;-4.58;-67.37;-67.16;-38.73
1503.750;-4.58;-67.37;-67.16;-38.66
1503.760;-4.58;-67.37;-67.16;-38.74
1503.770;-4.59;-67.36;-67.16;-38.64
1503.780;-4.60;-67.36;-67.15;-38.66
1503.790;-4.60;-67.35;-67.15;-38.66
1503.800;-4.59;-67.36;-67.16;-38.68
1503.810;-4.60;-67.35;-67.14;-38.58
1503.820;-4.60;-67.35;-67.14;-38.64
1503.830;-4.62;-67.33;-67.12;-38.65
1503.840;-4.61;-67.34;-67.14;-38.64
1503.850;-4.62;-67.33;-67.13;-38.71
1503.860;-4.59;-67.36;-67.15;-38.60
1503.870;-4.59;-67.36;-67.15;-38.62
1503.880;-4.61;-67.34;-67.13;-38.64
1503.890;-4.62;-67.33;-67.13;-38.61
1503.900;-4.60;-67.35;-67.14;-38.60
1503.910;-4.60;-67.35;-67.14;-38.63
1503.920;-4.59;-67.36;-67.16;-38.63
1503.930;-4.58;-67.37;-67.16;-38.63
1503.940;-4.59;-67.36;-67.15;-38.57
1503.950;-4.60;-67.35;-67.14;-38.59
1503.960;-4.59;-67.36;-67.16;-38.53
1503.970;-4.58;-67.37;-67.16;-38.62
1503.980;-4.58;-67.37;-67.16;-38.60
1503.990;-4.58;-67.37;-67.16;-38.55
1504.000;-4.60;-67.35;-67.15;-38.55
1504.010;-4.58;-67.37;-67.16;-38.56
1504.020;-4.58;-67.37;-67.16;-38.54
1504.030;-4.58;-67.37;-67.16;-38.55
1504.040;-4.58;-67.37;-67.16;-38.57
1504.050;-4.57;-67.38;-67.17;-38.58
1504.060;-4.58;-67.37;-67.16;-38.61
1504.070;-4.58;-67.37;-67.16;-38.62
1504.080;-4.58;-67.37;-67.16;-38.60
1504.090;-4.58;-67.37;-67.16;-38.56
1504.100;-4.58;-67.37;-67.16;-38.55
1504.110;-4.58;-67.37;-67.16;-38.48
1504.120;-4.58;-67.37;-67.16;-38.51
1504.130;-4.58;-67.37;-67.16;-38.55
1504.140;-4.60;-67.35;-67.14;-38.55
1504.150;-4.58;-67.37;-67.16;-38.51
1504.160;-4.58;-67.37;-67.16;-38.58
1504.170;-4.58;-67.37;-67.16;-38.53
1504.180;-4.58;-67.37;-67.16;-38.50
1504.190;-4.58;-67.37;-67.16;-38.48
1504.200;-4.57;-67.38;-67.17;-38.48
1504.210;-4.55;-67.40;-67.19;-38.53
1504.220;-4.57;-67.38;-67.17;-38.57
1504.230;-4.57;-67.38;-67.17;-38.57
1504.240;-4.57;-67.38;-67.17;-38.57
1504.250;-4.57;-67.38;-67.17;-38.58
1504.260;-4.57;-67.38;-67.17;-38.47
1504.270;-4.57;-67.38;-67.17;-38.56
1504.280;-4.57;-67.38;-67.17;-38.58
1504.290;-4.55;-67.40;-67.19;-38.60
1504.300;-4.58;-67.37;-67.16;-38.56
1504.310;-4.58;-67.37;-67.16;-38.54
1504.320;-4.57;-67.38;-67.17;-38.52
1504.330;-4.57;-67.38;-67.17;-38.57
1504.340;-4.57;-67.38;-67.17;-38.53
1504.350;-4.57;-67.38;-67.17;-38.54
1504.360;-4.58;-67.37;-67.16;-38.53
1504.370;-4.57;-67.38;-67.17;-38.54
1504.380;-4.58;-67.37;-67.16;-38.56
1504.390;-4.58;-67.37;-67.16;-38.54
1504.400;-4.58;-67.37;-67.16;-38.55
1504.410;-4.58;-67.37;-67.16;-38.59
1504.420;-4.58;-67.37;-67.15;-38.53
1504.430;-4.58;-67.37;-67.15;-38.61
1504.440;-4.58;-67.37;-67.16;-38.57
1504.450;-4.57;-67.38;-67.17;-38.58
1504.460;-4.57;-67.38;-67.17;-38.55
1504.470;-4.58;-67.37;-67.16;-38.61
1504.480;-4.57;-67.38;-67.17;-38.56
1504.490;-4.58;-67.37;-67.16;-38.55
1504.500;-4.58;-67.37;-67.15;-38.63
1504.510;-4.58;-67.37;-67.15;-38.61
1504.520;-4.58;-67.37;-67.15;-38.63
1504.530;-4.57;-67.38;-67.16;-38.68
1504.540;-4.58;-67.37;-67.16;-38.62
1504.550;-4.58;-67.37;-67.15;-38.61
1504.560;-4.58;-67.37;-67.15;-38.64
1504.570;-4.58;-67.37;-67.15;-38.60
1504.580;-4.60;-67.35;-67.14;-38.59
1504.590;-4.58;-67.37;-67.15;-38.64
1504.600;-4.60;-67.35;-67.14;-38.68
1504.610;-4.59;-67.36;-67.14;-38.59
1504.620;-4.58;-67.37;-67.15;-38.55
1504.630;-4.60;-67.35;-67.14;-38.49
1504.640;-4.59;-67.36;-67.15;-38.61
1504.650;-4.59;-67.36;-67.14;-38.57
1504.660;-4.60;-67.35;-67.14;-38.65
1504.670;-4.60;-67.35;-67.14;-38.59
1504.680;-4.58;-67.37;-67.15;-38.61
1504.690;-4.60;-67.35;-67.14;-38.62
1504.700;-4.60;-67.35;-67.14;-38.59
1504.710;-4.60;-67.35;-67.14;-38.61
1504.720;-4.60;-67.35;-67.13;-38.61
1504.730;-4.60;-67.35;-67.14;-38.66
1504.740;-4.60;-67.35;-67.14;-38.59
1504.750;-4.60;-67.35;-67.13;-38.56
1504.760;-4.58;-67.37;-67.15;-38.66
1504.770;-4.60;-67.35;-67.14;-38.64
1504.780;-4.61;-67.34;-67.13;-38.70
1504.790;-4.59;-67.36;-67.15;-38.66
1504.800;-4.60;-67.35;-67.13;-38.59
1504.810;-4.61;-67.34;-67.12;-38.63
1504.820;-4.60;-67.35;-67.13;-38.68
1504.830;-4.60;-67.35;-67.13;-38.59
1504.840;-4.58;-67.37;-67.15;-38.59
1504.850;-4.59;-67.36;-67.15;-38.61
1504.860;-4.60;-67.35;-67.13;-38.55
1504.870;-4.59;-67.36;-67.15;-38.51
1504.880;-4.58;-67.37;-67.15;-38.55
